r_nm,q_hat,success_count,sample_count,ci_low,ci_high
1500.000000,0.0440000000,88,2000,0.0358516855,0.0538967258
1525.000000,0.0405000000,81,2000,0.0327048149,0.0500570162
1550.000000,0.0335000000,67,2000,0.0264651620,0.0423235087
1575.000000,0.0305000000,61,2000,0.0238172875,0.0389828859
1600.000000,0.0375000000,75,2000,0.0300211339,0.0467521998
1625.000000,0.0215000000,43,2000,0.0160006941,0.0288339875
1650.000000,0.0280000000,56,2000,0.0216251076,0.0361846515
1675.000000,0.0405000000,81,2000,0.0327048149,0.0500570162
1700.000000,0.0280000000,56,2000,0.0216251076,0.0361846515
1725.000000,0.0265000000,53,2000,0.0203168215,0.0344986888
1750.000000,0.0320000000,64,2000,0.0251390139,0.0406554081
1775.000000,0.0265000000,53,2000,0.0203168215,0.0344986888
1800.000000,0.0245000000,49,2000,0.0185815362,0.0322416426
